University ,Year ,Ranking ,Tier 
Princeton,2011,1,3
Princeton,2011,1,3
Princeton,2011,1,3
Princeton,2011,1,3
Princeton,2011,1,3
Princeton,2011,1,3
Princeton,2011,1,2
Princeton,2011,1,2
Princeton,2010,6,
Princeton,2010,1,2
Princeton,2010,1,1
Princeton,2010,1,3
Princeton,2010,1,3
Princeton,2010,1,3
Princeton,2010,2,
Princeton,2010,3,
Princeton,2010,3,
Princeton,2010,3,
Princeton,2010,4,
Princeton,2010,4,
Princeton,2010,5,
Princeton,2010,5,
Princeton,2010,5,
Princeton,2010,9,
Princeton,2009,1,2
Princeton,2009,1,2
Princeton,2009,1,2
Princeton,2009,1,1
Princeton,2009,1,1
Princeton,2009,1,1
Princeton,2009,1,3
Princeton,2009,1,3
Princeton,2009,1,3
Princeton,2009,1,3
Princeton,2009,1,3
Princeton,2009,2,
Princeton,2009,3,
Princeton,2009,3,
Princeton,2009,3,
Princeton,2009,5,
Princeton,2009,5,
Princeton,2009,9,
Princeton,2009,9,
Princeton,2009,1,3
Princeton,2008,1,2
Princeton,2008,1,1
Princeton,2008,1,1
Princeton,2008,1,1
Princeton,2008,1,3
Princeton,2008,1,3
Princeton,2008,1,3
Princeton,2008,1,3
Princeton,2008,2,
Princeton,2008,3,
Princeton,2008,4,
Princeton,2008,6,
Princeton,2008,7,
Princeton,2008,9,
Princeton,2008,10,
Princeton,2008,1,3
Princeton,2008,1,2
Princeton,2007,1,1
Princeton,2007,1,1
Princeton,2007,1,3
Princeton,2007,1,3
Princeton,2007,1,2
Princeton,2007,1,3
Princeton,2007,1,3
Princeton,2007,3,
Princeton,2007,5,
Princeton,2007,6,
Princeton,2007,6,
Princeton,2007,6,
Princeton,2007,9,
Princeton,2007,9,
Princeton,2007,9,
Princeton,2006,1,1
Princeton,2006,1,1
Princeton,2006,1,3
Princeton,2006,1,3
Princeton,2006,1,3
Princeton,2006,1,2
Princeton,2006,1,3
Princeton,2006,1,3
Princeton,2006,1,3
Princeton,2006,1,3
Princeton,2006,1,3
Princeton,2006,2,
Princeton,2006,3,
Princeton,2006,3,
Princeton,2006,3,
Princeton,2006,8,
Princeton,2006,9,
Princeton,2006,9,
UChicago,2020,1,1
UChicago,2020,1,2
UChicago,2020,1,1
UChicago,2020,1,3
UChicago,2020,1,3
UChicago,2020,1,3
UChicago,2020,1,3
UChicago,2020,9,
UChicago,2020,1,3
UChicago,2020,1,3
UChicago,2020,1,3
UChicago,2020,7,
UChicago,2020,3,
UChicago,2020,3,
UChicago,2020,3,
UChicago,2020,10,
UChicago,2020,5,
UChicago,2020,5,
UChicago,2020,5,
UChicago,2020,10,
UChicago,2020,6,
UChicago,2020,6,
UChicago,2020,6,
UChicago,2020,6,
UChicago,2020,5,
UChicago,2020,4,
UChicago,2019,1,3
UChicago,2019,1,2
UChicago,2019,1,3
UChicago,2019,1,1
UChicago,2019,1,3
UChicago,2019,1,3
UChicago,2019,1,1
UChicago,2019,1,3
UChicago,2019,1,3
UChicago,2019,1,3
UChicago,2019,1,3
UChicago,2019,1,1
UChicago,2019,1,1
UChicago,2019,1,3
UChicago,2019,1,2
UChicago,2019,7,
UChicago,2019,3,
UChicago,2019,3,
UChicago,2019,4,
UChicago,2019,10,
UChicago,2019,5,
UChicago,2019,6,
UChicago,2019,6,
UChicago,2018,1,2
UChicago,2018,1,2
UChicago,2018,1,2
UChicago,2018,1,3
UChicago,2018,1,3
UChicago,2018,1,3
UChicago,2018,1,1
UChicago,2018,1,2
UChicago,2018,1,2
UChicago,2018,1,3
UChicago,2018,1,3
UChicago,2018,1,2
UChicago,2018,1,3
UChicago,2018,1,3
UChicago,2018,1,1
UChicago,2018,1,3
UChicago,2018,7,
UChicago,2018,7,
UChicago,2018,7,
UChicago,2018,3,
UChicago,2018,3,
UChicago,2018,5,
UChicago,2018,5,
UChicago,2018,5,
UChicago,2018,5,
UChicago,2018,5,
UChicago,2018,6,
UChicago,2018,5,
UChicago,2018,5,
UChicago,2018,5,
UChicago,2018,4,
UChicago,2018,10,
UChicago,2018,9,
UChicago,2018,10,
UChicago,2017,1,2
UChicago,2017,1,3
UChicago,2017,1,3
UChicago,2017,1,3
UChicago,2017,1,3
UChicago,2017,1,3
UChicago,2017,1,3
UChicago,2017,1,3
UChicago,2017,1,1
UChicago,2017,1,2
UChicago,2017,1,2
UChicago,2017,1,2
UChicago,2017,1,2
UChicago,2017,2,
UChicago,2017,3,
UChicago,2017,3,
UChicago,2017,3,
UChicago,2017,5,
UChicago,2017,5,
UChicago,2017,5,
UChicago,2017,5,
UChicago,2017,5,
UChicago,2017,6,
UChicago,2017,6,
UChicago,2017,7,
UChicago,2017,9,
UChicago,2016,1,2
UChicago,2016,1,1
UChicago,2016,1,3
UChicago,2016,1,3
UChicago,2016,1,3
UChicago,2016,1,3
UChicago,2016,1,3
UChicago,2016,1,3
UChicago,2016,1,3
UChicago,2016,1,1
UChicago,2016,1,1
UChicago,2016,1,1
UChicago,2016,1,1
UChicago,2016,3,
UChicago,2016,3,
UChicago,2016,5,
UChicago,2016,6,
UChicago,2015,1,2
UChicago,2015,1,1
UChicago,2015,1,3
UChicago,2015,1,3
UChicago,2015,1,3
UChicago,2015,1,3
UChicago,2015,1,3
UChicago,2015,1,3
UChicago,2015,1,3
UChicago,2015,1,2
UChicago,2015,3,
UChicago,2015,3,
UChicago,2015,5,
UChicago,2015,5,
UChicago,2015,5,
UChicago,2015,5,
UChicago,2015,5,
UChicago,2015,5,
UChicago,2015,5,
UChicago,2015,6,
UChicago,2015,6,
UChicago,2015,6,
UChicago,2015,6,
UChicago,2015,7,
UChicago,2015,7,
UChicago,2015,7,
UChicago,2015,7,
UChicago,2014,1,2
UChicago,2014,1,2
UChicago,2014,1,1
UChicago,2014,1,3
UChicago,2014,1,3
UChicago,2014,1,2
UChicago,2014,1,3
UChicago,2014,1,3
UChicago,2014,1,3
UChicago,2014,1,2
UChicago,2014,1,1
UChicago,2014,1,2
UChicago,2014,3,
UChicago,2014,5,
UChicago,2014,6,
UChicago,2014,6,
UChicago,2014,6,
UChicago,2014,6,
UChicago,2014,6,
UChicago,2014,7,
UChicago,2014,7,
UChicago,2014,7,
UChicago,2014,9,
UChicago,2014,9,
UChicago,2013,1,1
UChicago,2013,1,1
UChicago,2013,1,2
UChicago,2013,1,1
UChicago,2013,1,1
UChicago,2013,1,3
UChicago,2013,1,3
UChicago,2013,1,3
UChicago,2013,1,3
UChicago,2013,1,3
UChicago,2013,1,3
UChicago,2013,1,3
UChicago,2013,1,3
UChicago,2013,1,3
UChicago,2013,3,
UChicago,2013,3,
UChicago,2013,3,
UChicago,2013,3,
UChicago,2013,3,
UChicago,2013,3,
UChicago,2013,3,
UChicago,2013,3,
UChicago,2013,5,
UChicago,2013,5,
UChicago,2013,6,
UChicago,2013,6,
UChicago,2013,7,
UChicago,2013,7,
UChicago,2013,7,
UChicago,2013,9,
UChicago,2013,10,
UCBerkeley,2020,1,3
UCBerkeley,2020,1,3
UCBerkeley,2020,1,1
UCBerkeley,2020,1,1
UCBerkeley,2020,2,
UCBerkeley,2020,1,3
UCBerkeley,2020,8,
UCBerkeley,2020,3,
UCBerkeley,2020,3,
UCBerkeley,2020,3,
UCBerkeley,2020,5,
UCBerkeley,2020,5,
UCBerkeley,2020,6,
UCBerkeley,2019,1,3
UCBerkeley,2019,1,3
UCBerkeley,2019,1,3
UCBerkeley,2019,1,3
UCBerkeley,2019,1,1
UCBerkeley,2019,1,3
UCBerkeley,2019,1,1
UCBerkeley,2019,1,2
UCBerkeley,2019,2,
UCBerkeley,2019,2,
UCBerkeley,2019,2,
UCBerkeley,2019,1,3
UCBerkeley,2019,1,2
UCBerkeley,2019,1,2
UCBerkeley,2018,1,3
UCBerkeley,2018,2,
UCBerkeley,2018,8,
UCBerkeley,2018,3,
UCBerkeley,2018,1,3
UCBerkeley,2018,8,
UCBerkeley,2018,9,
UCBerkeley,2018,1,3
UCBerkeley,2018,1,3
UCBerkeley,2018,1,3
UCBerkeley,2018,2,
UCBerkeley,2018,1,3
UCBerkeley,2018,9,
UCBerkeley,2018,8,
UCBerkeley,2017,1,2
UCBerkeley,2017,1,1
UCBerkeley,2017,1,3
UCBerkeley,2017,1,3
UCBerkeley,2017,10,
UCBerkeley,2017,8,
UCBerkeley,2017,8,
UCBerkeley,2017,4,
UCBerkeley,2017,3,
UCBerkeley,2017,1,2
UCBerkeley,2017,5,
UCBerkeley,2017,8,
UCBerkeley,2017,1,1
